[00:00:00.268 - 00:00:00.268] 嗯。
[00:00:16.252 - 00:00:22.252] 分享一下这个我自己的一点这个研究体会。
[00:00:22.732 - 00:00:41.132] 那么我想这个安排大概是这样的，我给大家发了三篇这个参考文章，发了三篇参考文章，一篇一篇是关关于雷电是道斯方程的，一篇是关于这个相场模型的，还有一篇是关于梯度流的。
[00:00:41.932 - 00:00:45.452] 那么这个星期我不可能把这。
[00:00:45.228 - 00:01:00.908] 把这三篇文章都讲的比较详细，所以我我我想我主要是这个把这个其中关于算法的这一部分，这个时关于时间离散的那个算法这一部分着重给大家讲一讲。
[00:01:01.548 - 00:01:05.228] 这个这次这个这个空间离散，我就。
[00:01:04.492 - 00:01:12.012] 我就基本上不讲，但是我会给大家提一下，假如有空间离散的话，这个这个怎么处理？
[00:01:12.572 - 00:01:25.452] 就是说这个就是一般的情况下，就是你你我我们我现在这个就是我们这堂课的这个原则是是说我有一个这个非线性方程对吧？
[00:01:25.452 - 00:01:27.852] 我有一个非线性发展发展方程。
[00:01:29.932 - 00:01:32.652] 那个我我有一个非线性发展方程。
[00:01:34.412 - 00:01:36.252] 嗯嗯嗯。
[00:01:43.084 - 00:01:45.484] 这里是线性项，这里是非线性项。
[00:01:47.004 - 00:01:53.724] 那么我们处理的这个这个现在有两种办法处理，一种是你先空间离散。
[00:01:55.324 - 00:02:01.484] 先空间离散的话，那就是说你会出来这个会会出来，比方说空间有。
[00:02:02.220 - 00:02:18.940] 100万个点，那就就是出来100万个100万个这个未知量的这个常系数方程组，常微分方程组，那么你就可以套用常微分方程组的这个这个解法去做，随便就是多个复杂多y的事情。
[00:02:19.420 - 00:02:27.580] 但是这种做法，这种做法就就是以前的做法是以前比较比较实行的就是叫做method of large就是。
[00:02:28.492 - 00:02:44.652] 就是说你你这你这个空间，这是空间，这是S，这里是T，我我一个点一个点，然后然后就是这样子下来，对不对？
[00:02:45.052 - 00:02:52.332] 然后然后就是说你你要你要解一串的这个，你你要你要解解一串的这个。
[00:02:59.084 - 00:02:59.164] 哎。
[00:03:04.524 - 00:03:04.604] 嗯。
[00:03:08.556 - 00:03:13.996] 解一串的这种方程组，这个k等于121直到这个大n。
[00:03:14.156 - 00:03:32.716] 但是问题是这个，你原来这个做一维的问题这么做大概可以，一维问题你取个100个点，取个300个点，你解个300个未知量的这个常系数方程，常微方程组，这个你放到matlab里面，，你随便叫什么龙格库塔方法什么，大概都可能解的肯定比较好。
[00:03:33.356 - 00:03:38.796] 但是你到这个问题到二维，尤其是到三维以后，像像这种这种。
[00:03:38.604 - 00:03:48.524] 这种方法就不太适用了，你出来的未知量动不动就是100万、200万、几百万，这个这个MATLAB都撼动不了，这个不是一个很有效的解法。
[00:03:49.084 - 00:03:56.844] 那么另外一种，这个这这种就是Method of Line，这个这个是一种。
[00:03:58.924 - 00:04:12.844] 那么另外一个就是就是我把这个反过来，我把这个反过来，就是我先对时间理解，先对时间理解，如果好比说我最简单的这个这个理解方法呢是。
[00:04:22.860 - 00:04:45.740] 我我最简单的这个离散方法就这样子，先对时间离散，我用的一阶格式，就是说我们这次讲的这个方法主要就是要牵涉到这一类，就是说我的原则是什么，我的原则是这个线性部分我要隐式，非线性部分我要显式。
[00:04:46.636 - 00:04:51.436] 这样子的话，我每一步我要解的这个方程不就很简单了嘛，对不对？
[00:04:52.316 - 00:04:54.476] 你你看这样子每一步我只要解什么方程？
[00:04:55.756 - 00:04:57.116] 每一步我只要解。
[00:05:05.004 - 00:05:26.924] 只要只要解决这样子的方程，这个哦，这里是a，那个不一定是这个a，经常是拉普拉斯，不拉普拉斯，因为每一步都要解决这样子的方程，那这样子的方程，这个a算子，刚刚我讲的是线性算子，那么通常这个a就是拉普拉斯算子，或者是双调和拉普拉斯算子，就是a我们讲总总是。
[00:05:27.788 - 00:05:57.548] 最好是线性常系数的这个这个椭圆型算子，那么这个东西那假定大家都会解，所以所以这里面我待会那个会叫这个助教给大家，你们大家都有，就是说我们要用的这堂课要用的这个程序，最主要的就是拉普拉斯方程的解法，你你自己要有一个解拉普拉斯方程，就是要解要有一个这样的。
[00:06:00.332 - 00:06:20.812] 要一个这样的这个，我我们就考虑一个最简单的情形，在在这个方块区域上，这个第1=12~3位我们就先不管了，三位也同样做，但是但是这个课堂上，我我们这个你大概要要是要这个用一下的话，用个二维的就行。
[00:06:21.292 - 00:06:33.132] 那么这个边界条件呢，边界条件这个就是就是几种边界条件都都要有，第一种就是狄利克雷边界条件，或者是这个诺伊曼边界条件。
[00:06:38.220 - 00:06:39.660] 或者是周期边界条件。
[00:06:43.148 - 00:06:59.708] 或者是周期边界条件，那么我会给叫这个助教给大家发一个发两个小程序，一个小程序就是就是用周期的，用傅里叶，这个就是用用用傅里叶，出发吧。
[00:07:03.756 - 00:07:06.316] 用傅里叶方法呢，这个事情就非常简单了。
[00:07:06.956 - 00:07:11.756] 你用傅里叶方法去来解这个东西就非常简单。
