[00:00:16.684 - 00:00:32.844] 我们继续，那个，就我们刚刚讲了这个这个格式是无条件能量稳定和一天。
[00:00:33.580 - 00:00:43.202] 那么它在每一步，这个东西也是个非线性，也是个非线性方程，所以这也是个非线性方程。
[00:00:43.340 - 00:00:47.580] 那么问题是这个非线性方程组你怎么解？
[00:00:48.380 - 00:00:52.300] 我们刚刚讲了，刚刚那个全隐的格式，它这个。
[00:00:53.356 - 00:01:04.556] 它这个非线性方程组比较麻烦，非线性方程组它可能有多解，可能没有唯一解，也可能没有解，所以你你都不清楚，要时间步长足够小的时候才行。
[00:01:05.036 - 00:01:10.476] 那么现在做这种突分裂的格式，是不是情况会好一点？
[00:01:11.196 - 00:01:11.356] 那么。
[00:01:13.292 - 00:01:36.572] ，确实是这样，就是说因为我把这个，你看这个思想，这个思想还是很重要的一个思想，就是说为什么我们要这么做，为什么我们要这么做，为什么要把它分成两个凸的这个函数，然后这个凸的函数隐式，这个凸的函数显式，为什么要这样做，这个原因在于你。
[00:01:35.916 - 00:01:44.716] 你你把它分成这两部分了以后，你就知道这个这部分呢，它对能量是起耗散作用。
[00:01:44.716 - 00:01:49.676] 这部分对能量是起耗散作用，起耗散作用呢，那么你一定要隐式。
[00:01:50.476 - 00:01:57.196] 它耗散作用你要给它显示的话，它耗散就作用就显示不出来了，你就得不到这个耗散的性质。
[00:01:57.996 - 00:02:13.036] 这一部分它对它对能量是没有耗散作用的，它它不会能量会增长的，所以这一部分你假如你去给它隐私的话，只会给你带来麻烦，不会给你带来好处，所以你这部分一定要显示。
[00:02:14.412 - 00:02:28.172] 这个是一般的这个准则，就是说不光是这种，在做其他的方式，就是说刚刚我们做这个，刚刚我们写了不是写了个face field crystal嘛，face field crystal，你看那个能量里面也有一个负的，对不对？
[00:02:28.812 - 00:02:40.652] 里面有个有个有个有个负的那一项，那一项它你你自然而然你要写成图分裂的话，它那一项就应该是放在这次，就是说就是说它这个。
[00:02:41.388 - 00:03:03.788] 它这个不不正能量耗散的这个部分，最好不要去引申离散，引申离散它只会给你带来只会给你带来毛病，就像这个刚刚的这个全隐格式一样，你不管三七二十一全部都隐了，哎，能量稳定都没有问题，但是给你数值解法带来问题。
[00:03:04.828 - 00:03:10.668] 那么它这样子做的这个好处就是就是这个东西这个。
[00:03:13.068 - 00:03:24.908] 这个格式，它在每一步，它都是一个凸函，凸泛函的这个凸，它虽然是非线性的，但是它是存在唯一解。
[00:03:25.708 - 00:03:31.788] 它这个解对于任何的交大，它都是存在唯一，而且这个满足这个。
[00:04:20.524 - 00:04:29.724] OK，就是说这个格式的解，它是存在唯一的，就是不管 delta T 是多大，它永远是有唯一解。
[00:04:30.204 - 00:04:32.684] 而且这个唯一解它是什么东西？
[00:04:32.764 - 00:04:38.684] 它是这个一个凸函数的最小，凸函数的最小解，最小能量解。
